breed,text
Shiba,Shiba Inu
Shiba,SHIBA
Shiba,시바견
Shiba,SHIBA INU
Shiba,시바
Shiba,Shiba Inu(시바 이누)
Shiba,shiba
Shiba,SHIBA INU(시바 이누)
Shiba,SHIBA DOG
Shiba,Shiba
Shiba,시바이누
Shiba,마메시바(콩메시바)
Shiba,SHIBA INU(시바 )
Shiba,시바이누 블랙탄
Shiba,Shiba(시바)
Shiba,Shiba Inu (시바견)
Shiba,(Shiba Inu)시바견
Shiba,시바캥
Shiba,시바킹
Shiba,shiba 
Shiba,SHIBA INU(시바)
Shiba,SHIBA  INU
Shiba,시바루
Shiba,마메시바 
Shiba,시바 이누
Shiba,시바아누
Shiba,마메시바
Shiba,시바 견
Shiba,시바케
Shiba,메마시바
Shiba,Shiba Inu(시바견)
Shiba,SHIba
Shiba,시바 블랙탄
Shiba,SHIBA INU(도시바)
Shiba,마메시바(콩)
Shiba,시바이누(시바견)
Shiba,Mameshiba
Shiba,Shiba-Inu
Shiba,마메 시바
Shiba,마메(豆柴)시바 이누
Shiba,shiba Inu(시바 이누)
Shiba,mameshiba
Shiba,Mame shiba
Shiba,시바겐
Shiba,Shiba Corgi
Shiba,시바iever)
Shiba,Mame Shiba
Shiba,시바시누
Shiba,shibainu
Shiba,시바견(Shiba Inu) 
Shiba,시바견-일본
Shiba,시바견블랙탄
Shiba,콩시바
Shiba,시바이노
Shiba,JAPANESESHIBAINU
Shiba,Shibacorgi
Shiba,Shiba (시바견)
Shiba,시바(일본산)
Shiba,시바견종
Shiba,시바견 
Shiba,SHIBAL
Shiba,Shiba(시바견)
Shiba,SHIBAINU
Shiba,shiba lnu
Shiba,시바 이누(Shiba Inu)
Shiba,SHIBA1
Shiba,SHIBA INU1
Shiba,시바1
Shiba,시바견1
Shiba,신슈시바
Shiba,콩 시바
Shiba,일본 시바
Shiba,shiba Inu black
Shiba,제페니즈 시바견
Shiba,아스키 시바견
Shiba,아카시바 도그
Shiba,마메 시바 이누
Shiba,마베시바
Shiba,시바 이누(시바견)
Shiba,시바 이누1
Shiba,아카시바
Shiba,시바이누 블랙
