breed,text
Shih_tzu,시추
Shih_tzu,시츄
Shih_tzu,시츄(2층미용실)
Shih_tzu,시츄(C/D손님)
Shih_tzu,SHIH TZU 시추
Shih_tzu,Shih Tzu(시추)
Shih_tzu,시츄(B)
Shih_tzu,Shih Tzu(시츄)
Shih_tzu,SHIH TZU(시추)
Shih_tzu,시츄(분양견5.16)
Shih_tzu,SHIH TZU(시츄)
Shih_tzu,시츄 (사망)
Shih_tzu,시츄 [Shih Tzu]  
Shih_tzu,SHIH Tzu(시추)
Shih_tzu,시츄(shih tzu)
Shih_tzu,shihtzu(시츄)
Shih_tzu,시츄(Shih tzu)
Shih_tzu,시추 
Shih_tzu,시츄 
Shih_tzu,`시츄
Shih_tzu,시추 (Shih Tzu)
Shih_tzu,시츄(늘사랑분양)
Shih_tzu,Shih Tzu 시츄
Shih_tzu,Shihtzu (시츄)
Shih_tzu,시츄 (사상충 유료)
Shih_tzu,CB(시츄)
Shih_tzu,CB시츄
Shih_tzu,SHIH TZU(시추)CB
Shih_tzu,SHIH TZU(시추)(라사압소)
Shih_tzu,SHIH TZU(시추)모란장
Shih_tzu,SSHIH TZU(시추)
Shih_tzu,시추.
Shih_tzu,시추 (안락사)
Shih_tzu,시츄 (0.2미납)
Shih_tzu,시츄 (death)
Shih_tzu,시츄 (미수금 0.3)
Shih_tzu,시츄♂
Shih_tzu,시추(SHIH TZU)
Shih_tzu,SHIH TZU(시추) CUR
Shih_tzu,시츄 CUR
Shih_tzu,시츄cur
Shih_tzu,시추1
Shih_tzu,SHIT ZU(시츄)
Shih_tzu,시츄(린지딸)
Shih_tzu,시츄(린지아들)
Shih_tzu,SHIH-TZU(시추)
Shih_tzu,SHIH TZU(시추) (분양)
Shih_tzu,SHIH TZU(시추) 분양
Shih_tzu,시츄[2마리]2마리다 숫컷
Shih_tzu,시추 시츄
Shih_tzu,시추(시츄)
Shih_tzu,시추. 시츄
Shih_tzu,화이트 시츄
Shih_tzu,시추2
Shih_tzu,시추3
Shih_tzu,시추4
Shih_tzu,시추5
Shih_tzu,시추6
